class,x,y,z
2.0,24.748277239656726,38.921025327707255,60.09600776195185
1.0,48.733025670295774,30.555400479062147,89.56935952377076
1.0,57.54927288504569,46.95794578735925,89.28687251527117
2.0,19.650985553251914,43.978480409979554,65.43766855722885
2.0,17.727380826265218,40.041580658131245,64.58446847879915
3.0,23.751462580031205,15.108590895181162,6.407559381973674
3.0,35.39213238402773,9.59184746855706,7.69931426110967
3.0,21.42380161660938,6.949863246066576,5.318271581120444
3.0,9.833676828564723,6.847377058728378,4.832814377401495
3.0,14.25328315543387,7.610355539800072,2.2255438223661805
1.0,53.1190964017554,29.97827694477281,93.55965839843677
2.0,19.497019798819395,36.61840611041878,51.917787811825335
1.0,58.75399815494726,37.3654605386261,91.77788242036688
2.0,19.176586362445452,46.13988338747378,62.6760431450628
1.0,57.62109866507105,28.9500200146584,89.44566890491431
3.0,41.145751641148216,12.161655132974948,7.026138061976346
2.0,22.034544478743417,40.97028392408751,64.05017228347458
1.0,61.87157662378186,59.91707414682613,89.5794300269303
2.0,25.3783213574893,41.4971937743325,60.33989337929089
2.0,15.447218858865941,39.14386807074219,62.49017850964131
2.0,24.678402900635184,46.93961401007124,63.78531850684851
1.0,59.83049805298006,27.78309533491364,91.71652321670861
2.0,21.105415136511567,38.986784547642664,60.7549446768026
2.0,23.53235087470926,37.81920148613153,62.49102845559532
2.0,19.955221327558654,39.92669499112367,52.34208311447369
2.0,18.356654965630035,44.93995829361021,60.82670711702928
3.0,23.465989153722273,7.697333537671801,5.9908933316618045
1.0,54.79077190650363,22.04883599888715,96.94863124056072
3.0,31.82779175422475,8.670526035608422,9.897588370293184
3.0,30.183666709474743,7.270231478270308,6.8261370375562835
2.0,24.162322355043234,44.24772002222992,61.50483678140884
2.0,27.60360324107428,41.32015787707146,65.7110605855088
1.0,54.39787710077034,19.62232095151045,86.22416961126723
3.0,35.822667477695546,-0.8902866325842869,3.6648026859880853
1.0,58.890343479031,39.64698162865932,96.43679538005708
2.0,19.77195399966472,41.77511571749351,65.01046070739235
2.0,21.177770395308027,36.97745564604337,54.18317275869148
2.0,16.70949005377075,36.34111666702653,63.67909721958746
2.0,25.01333503839089,37.070045521058425,56.728977865996015
3.0,14.853896139122043,17.76251661874111,7.572069837436047
1.0,62.320059888340154,11.942469331740309,92.20448894433429
2.0,17.96387956224028,31.506051900871963,62.39129740222572
2.0,16.330329546789514,35.15018361037478,60.64239417409687
3.0,14.168165827814914,9.380323623457066,5.370993083981043
1.0,55.7807607819982,36.37873858297389,98.44620733056887
2.0,28.58105261089887,41.02119362389267,67.24818196095231
1.0,63.062368110596836,54.09879707054495,86.93376731854279
2.0,16.498046447792163,39.259163413180545,60.25604378590673
3.0,26.41315790348279,9.150590652210617,0.10577629597854621
2.0,30.02366156346888,38.126927189462926,56.24585071940479
1.0,58.497044612578605,30.998736493142086,95.23030690206062
2.0,22.15325735231649,44.055219799866606,59.90122584597469
3.0,19.348803855764253,5.009459063462701,6.00684525836605
1.0,55.21645342244,16.85458288531771,83.66410842901468
1.0,47.81657267476061,15.886817981768433,93.55919645938337
2.0,23.59852340507066,35.17981028170543,63.69662315192249
3.0,18.027623850435486,19.48522002854545,5.698133080203381
2.0,21.661154332572917,42.27603425529743,63.21408814955441
2.0,22.144244285690206,47.11851336681863,59.72568509597248
2.0,19.41591559846619,43.385519225272056,66.73680032978525
1.0,46.423540863968974,15.56941379737053,96.8106483791453
1.0,68.29157050236896,27.97745534984833,86.42623558012151
3.0,21.742624724152183,2.8968534381104796,4.5836555930725975
3.0,15.533983177935287,13.614605805624361,8.678848975244005
2.0,21.03665632725506,40.14169644248135,66.00096723371597
2.0,16.029192170750818,39.241014709803565,62.630219502957345
3.0,43.825235761185056,6.1958624232071635,5.498126235461597
3.0,21.924104986675335,9.827052569325469,8.003727421698937
1.0,58.75355953844502,54.29426766996427,92.08911643360419
2.0,13.829123584532041,33.57587862084238,63.69921376493686
3.0,27.172886370245045,8.218801438501732,4.843328861543476
3.0,35.141993505846735,5.597061344960699,5.343823335315675
3.0,26.960442542736658,4.33324718747253,0.4717510375169276
3.0,26.450474940854527,10.022064480053562,6.290417061751248
2.0,19.987146874924793,39.92424007688012,64.60492539684024
1.0,51.325152545556136,39.96340758971354,93.0053025473978
2.0,14.96170453457094,36.14727122226468,60.712477240462285
1.0,60.35194076620238,33.549279654936555,90.30830506840564
3.0,34.173163329879266,-3.3344524700754885,3.837911739653701
2.0,12.668041162389892,38.184529893001105,63.645562957673164
3.0,17.66715673427383,9.387709634968003,3.132915070170924
3.0,13.079396003993857,8.646913533524911,6.907717063184868
2.0,19.14222998000198,39.750765581782815,64.22487930370924
3.0,22.84529608672934,16.544536337946223,-0.22629707381633768
3.0,32.107175471866,5.704277995256736,1.2194037153122759
1.0,70.15564296284872,18.37293948664796,89.74586028396742
2.0,23.642862230691087,38.15578992370963,59.296300314224126
1.0,57.49085965004864,20.66142721909918,90.76680756572057
2.0,22.72014261988585,47.378334035915245,59.101806668274854
2.0,18.17892210117208,40.24238583825509,68.18004543617383
3.0,25.11092063920763,8.879217340420652,6.495076878506416
2.0,10.85756279774099,40.250415967359714,65.9894716594332
3.0,21.883912222690718,7.5556360207797635,7.3837950691204
2.0,19.048636011773286,36.38671325943421,66.81527176281833
3.0,19.576699055478052,1.4874457538121248,5.829589384487201
3.0,7.566344939079542,6.2845988538604285,2.747500731421024
1.0,52.43645362531151,42.09435025889284,93.25207059546793
1.0,50.96336386752081,37.189545037247285,87.57443768962159
1.0,62.37153301709702,39.881670606635126,82.65681650442271
2.0,24.671548773439994,41.38335152427551,57.460891806260655
2.0,22.972758220484657,34.01032254390485,60.68289529203019
1.0,51.3599428362094,39.204878854168825,81.87084558775808
2.0,19.589229138739714,38.291505331497504,59.04956409394317
1.0,56.226414617691525,27.768125873794194,91.47053256996341
3.0,21.71707511012033,14.553184066253047,7.20614314913214
3.0,34.02837727011624,20.703220813331498,1.4728440639768428
3.0,8.574638230737321,11.51561107590161,10.396994286022515
1.0,57.239393573241145,37.05725909705585,88.26101962683101
1.0,53.96334371784093,41.13042713252279,94.43314678056987
1.0,65.82134860193791,40.81493551312161,90.47062871857068
2.0,18.922958391084386,35.33058231389478,61.963617390059156
2.0,18.903699752494774,41.14504386514203,55.656696400030576
3.0,19.257877764898836,8.634399584175384,4.269801120499803
2.0,17.32192908410934,43.624428882405056,59.110507708035776
2.0,16.89631551207945,42.91048267437849,62.11314933095312
2.0,22.75169151710793,35.413173632501035,61.39131721330908
1.0,51.69899733393931,17.055969649846375,87.73748814158795
3.0,35.93240072437423,6.868175279219155,5.713584377770141
3.0,28.649858366984965,21.679300376034863,1.2460051172904971
3.0,20.99974981247659,3.623066994622926,4.955568926876594
2.0,15.257622550254238,48.2608896292073,56.64071478189951
3.0,30.884395379605397,12.96648348411352,7.807756900086854
2.0,16.795440165051374,34.268976945319764,58.26982799234266
3.0,16.823813400355185,9.910513658505293,8.46443709683945
3.0,33.38458320521514,2.690958360508228,4.824062434443135
1.0,54.70648793190319,54.75745096684045,87.51067094826172
1.0,53.323948344874886,27.49548752501931,88.69081951857451
2.0,12.369085145638028,36.29914327954313,57.80656754941913
3.0,15.92034562947211,15.560364586953703,3.242775608174112
1.0,69.17441086970175,47.332868326243975,90.96714036573813
1.0,61.33129318391651,11.743724247858879,88.2983125195462
2.0,24.727988421116095,37.61702593140116,59.42891367553136
1.0,68.84507293115063,23.007826888365415,93.22112830013205
2.0,27.544297956334134,36.99915707063722,62.22954348130328
1.0,71.80434494465312,35.90865153016954,89.98985372572372
